# OpenMATB Scenario: full_calibration_pdry01_c1.txt
# Full-study calibration -- condition 1, 9 min continuous
#
# Participant  : PDRY01
# d_final      : 0.1000
# delta        : 0.8000
# Level anchors: LOW=-0.7000, MODERATE=0.1000, HIGH=0.9000
# Block order  : L H M H M L M L H  (L=LOW M=MODERATE H=HIGH)
# Seed basis   : <participant>|<condition>|<block_index>
# Generated by : scripts/generate_full_study_scenarios.py

0:00:00;labstreaminglayer;start
0:00:00;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;scheduling;start
0:00:00;communications;voiceidiom;english
0:00:00;communications;voicegender;male
0:00:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_01/LOW/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:05;track;taskupdatetime;48
0:00:05;track;joystickforce;3
0:00:05;resman;tank-a-lossperminute;54
0:00:05;resman;tank-b-lossperminute;54
0:00:05;track;start
0:00:05;sysmon;start
0:00:05;communications;start
0:00:05;resman;start
0:00:12;sysmon;lights-1-failure;True
0:00:19;communications;radioprompt;other
0:00:41;sysmon;scales-1-failure;True
0:00:43;resman;pump-8-state;failure
0:00:53;resman;pump-8-state;off
0:01:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_01/LOW/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_02/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;track;taskupdatetime;24
0:01:05;track;joystickforce;2
0:01:05;resman;tank-a-lossperminute;195
0:01:05;resman;tank-b-lossperminute;195
0:01:09;resman;pump-7-state;failure
0:01:13;sysmon;scales-1-failure;True
0:01:17;communications;radioprompt;own
0:01:19;resman;pump-7-state;off
0:01:19;sysmon;lights-1-failure;True
0:01:26;sysmon;scales-3-failure;True
0:01:28;resman;pump-8-state;failure
0:01:29;sysmon;lights-2-failure;True
0:01:30;sysmon;scales-2-failure;True
0:01:33;sysmon;scales-2-failure;True
0:01:33;sysmon;lights-2-failure;True
0:01:34;sysmon;lights-2-failure;True
0:01:36;sysmon;lights-1-failure;True
0:01:36;sysmon;scales-4-failure;True
0:01:37;sysmon;lights-2-failure;True
0:01:38;resman;pump-8-state;off
0:01:39;communications;radioprompt;other
0:01:52;sysmon;scales-3-failure;True
0:01:54;sysmon;lights-1-failure;True
0:01:57;sysmon;scales-1-failure;True
0:02:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_02/HIGH/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_03/MODERATE/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:05;track;taskupdatetime;36
0:02:05;track;joystickforce;2
0:02:05;resman;tank-a-lossperminute;103
0:02:05;resman;tank-b-lossperminute;103
0:02:24;sysmon;scales-4-failure;True
0:02:24;resman;pump-7-state;failure
0:02:26;sysmon;lights-1-failure;True
0:02:28;communications;radioprompt;other
0:02:28;sysmon;scales-2-failure;True
0:02:34;resman;pump-7-state;off
0:02:36;sysmon;lights-2-failure;True
0:02:45;sysmon;lights-1-failure;True
0:02:47;resman;pump-8-state;failure
0:02:51;sysmon;scales-1-failure;True
0:02:57;resman;pump-8-state;off
