# OpenMATB Scenario: full_calibration_pdry02_c1.txt
# Full-study calibration -- condition 1, 9 min continuous
#
# Participant  : PDRY02
# d_final      : 0.8000
# delta        : 0.8000
# Level anchors: LOW=0.0000, MODERATE=0.8000, HIGH=1.6000
# Block order  : M L H L H M H M L  (L=LOW M=MODERATE H=HIGH)
# Seed basis   : <participant>|<condition>|<block_index>
# Generated by : scripts/generate_full_study_scenarios.py

0:00:00;labstreaminglayer;start
0:00:00;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;scheduling;start
0:00:00;communications;voiceidiom;english
0:00:00;communications;voicegender;male
0:00:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_01/MODERATE/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:05;track;taskupdatetime;25
0:00:05;track;joystickforce;2
0:00:05;resman;tank-a-lossperminute;180
0:00:05;resman;tank-b-lossperminute;180
0:00:05;track;start
0:00:05;sysmon;start
0:00:05;communications;start
0:00:05;resman;start
0:00:09;communications;radioprompt;other
0:00:12;resman;pump-7-state;failure
0:00:22;resman;pump-7-state;off
0:00:31;sysmon;lights-1-failure;True
0:00:33;sysmon;scales-2-failure;True
0:00:36;communications;radioprompt;own
0:00:39;sysmon;scales-2-failure;True
0:00:39;resman;pump-8-state;failure
0:00:40;sysmon;lights-2-failure;True
0:00:44;sysmon;lights-2-failure;True
0:00:45;sysmon;scales-1-failure;True
0:00:49;sysmon;lights-2-failure;True
0:00:49;resman;pump-8-state;off
0:00:53;sysmon;scales-3-failure;True
0:00:53;sysmon;lights-1-failure;True
0:00:55;sysmon;lights-1-failure;True
0:00:55;sysmon;scales-3-failure;True
0:00:58;sysmon;scales-4-failure;True
0:01:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_01/MODERATE/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_02/LOW/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;track;taskupdatetime;38
0:01:05;track;joystickforce;2
0:01:05;resman;tank-a-lossperminute;95
0:01:05;resman;tank-b-lossperminute;95
0:01:23;sysmon;scales-4-failure;True
0:01:27;communications;radioprompt;other
0:01:27;resman;pump-8-state;failure
0:01:37;resman;pump-8-state;off
0:01:37;sysmon;scales-3-failure;True
0:01:47;resman;pump-7-state;failure
0:01:48;sysmon;lights-1-failure;True
0:01:49;sysmon;lights-2-failure;True
0:01:57;resman;pump-7-state;off
0:02:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_02/LOW/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_03/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:05;track;taskupdatetime;13
0:02:05;track;joystickforce;1
0:02:05;resman;tank-a-lossperminute;341
0:02:05;resman;tank-b-lossperminute;341
0:02:08;communications;radioprompt;own
0:02:08;resman;pump-2-state;failure
0:02:08;sysmon;lights-1-failure;True
0:02:09;sysmon;scales-3-failure;True
0:02:12;sysmon;scales-2-failure;True
0:02:16;sysmon;scales-4-failure;True
0:02:18;resman;pump-2-state;off
0:02:18;sysmon;lights-2-failure;True
0:02:21;sysmon;lights-2-failure;True
0:02:23;sysmon;scales-1-failure;True
0:02:24;resman;pump-5-state;failure
