# OpenMATB Scenario: full_calibration_pdry04_c1.txt
# Full-study calibration -- condition 1, 9 min continuous
#
# Participant  : PDRY04
# d_final      : 0.0000
# delta        : 0.8000
# Level anchors: LOW=-0.8000, MODERATE=0.0000, HIGH=0.8000
# Block order  : H L M L M H M H L  (L=LOW M=MODERATE H=HIGH)
# Seed basis   : <participant>|<condition>|<block_index>
# Generated by : scripts/generate_full_study_scenarios.py

0:00:00;labstreaminglayer;start
0:00:00;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;scheduling;start
0:00:00;communications;voiceidiom;english
0:00:00;communications;voicegender;male
0:00:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_01/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:05;track;taskupdatetime;25
0:00:05;track;joystickforce;2
0:00:05;resman;tank-a-lossperminute;180
0:00:05;resman;tank-b-lossperminute;180
0:00:05;track;start
0:00:05;sysmon;start
0:00:05;communications;start
0:00:05;resman;start
0:00:08;communications;radioprompt;own
0:00:10;sysmon;scales-2-failure;True
0:00:16;resman;pump-7-state;failure
0:00:20;sysmon;scales-1-failure;True
0:00:21;sysmon;lights-2-failure;True
0:00:22;sysmon;lights-2-failure;True
0:00:24;sysmon;lights-1-failure;True
0:00:26;resman;pump-7-state;off
0:00:27;sysmon;scales-1-failure;True
0:00:28;communications;radioprompt;other
0:00:34;resman;pump-8-state;failure
0:00:39;sysmon;scales-3-failure;True
0:00:40;sysmon;lights-1-failure;True
0:00:41;sysmon;scales-2-failure;True
0:00:44;resman;pump-8-state;off
0:00:53;sysmon;lights-2-failure;True
0:00:55;sysmon;lights-1-failure;True
0:00:58;sysmon;scales-4-failure;True
0:01:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_01/HIGH/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_02/LOW/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;track;taskupdatetime;50
0:01:05;track;joystickforce;3
0:01:05;resman;tank-a-lossperminute;50
0:01:05;resman;tank-b-lossperminute;50
0:01:09;communications;radioprompt;other
0:01:25;sysmon;scales-2-failure;True
0:01:28;sysmon;lights-1-failure;True
0:01:42;resman;pump-7-state;failure
0:01:52;resman;pump-7-state;off
0:02:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_02/LOW/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_03/MODERATE/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:05;track;taskupdatetime;38
0:02:05;track;joystickforce;2
0:02:05;resman;tank-a-lossperminute;95
0:02:05;resman;tank-b-lossperminute;95
0:02:17;sysmon;scales-3-failure;True
0:02:31;resman;pump-8-state;failure
0:02:33;sysmon;lights-1-failure;True
0:02:35;communications;radioprompt;other
0:02:37;sysmon;scales-4-failure;True
0:02:41;resman;pump-8-state;off
0:02:45;resman;pump-7-state;failure
0:02:52;sysmon;lights-2-failure;True
0:02:55;resman;pump-7-state;off
0:03:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_03/MODERATE/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
