# OpenMATB Scenario: full_calibration_pself_c1.txt
# Full-study calibration -- condition 1, 9 min continuous
#
# Participant  : PSELF
# d_final      : 0.8000
# delta        : 0.2000
# Level anchors: LOW=0.6000, MODERATE=0.8000, HIGH=1.0000
# Block order  : H L M L M H M H L  (L=LOW M=MODERATE H=HIGH)
# Seed basis   : <participant>|<condition>|<block_index>
# Generated by : scripts/generate_full_study_scenarios.py

0:00:00;labstreaminglayer;start
0:00:00;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;scheduling;start
0:00:00;communications;voiceidiom;english
0:00:00;communications;voicegender;male
0:00:00;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_01/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;track;taskupdatetime;10
0:00:00;track;joystickforce;1
0:00:00;resman;tank-a-lossperminute;1000
0:00:00;resman;tank-b-lossperminute;1000
0:00:00;track;start
0:00:00;sysmon;start
0:00:00;communications;start
0:00:00;resman;start
0:00:03;communications;radioprompt;other
0:00:04;sysmon;lights-1-failure;True
0:00:07;resman;pump-8-state;failure
0:00:09;sysmon;scales-3-failure;True
0:00:15;sysmon;lights-1-failure;True
0:00:17;resman;pump-8-state;off
0:00:18;resman;pump-7-state;failure
0:00:20;sysmon;scales-2-failure;True
0:00:28;communications;radioprompt;other
0:00:28;resman;pump-7-state;off
0:00:29;sysmon;lights-2-failure;True
0:00:32;sysmon;scales-4-failure;True
0:00:44;sysmon;scales-1-failure;True
0:00:45;sysmon;lights-2-failure;True
0:00:59;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_01/HIGH/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:00;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_02/LOW/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:00;track;taskupdatetime;26
0:01:00;track;joystickforce;2
0:01:00;resman;tank-a-lossperminute;620
0:01:00;resman;tank-b-lossperminute;620
0:01:04;resman;pump-8-state;failure
0:01:14;resman;pump-8-state;off
0:01:16;communications;radioprompt;other
0:01:17;sysmon;scales-1-failure;True
0:01:18;sysmon;lights-2-failure;True
0:01:29;sysmon;lights-2-failure;True
0:01:33;sysmon;scales-4-failure;True
0:01:42;sysmon;lights-1-failure;True
0:01:45;sysmon;scales-2-failure;True
0:01:59;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_02/LOW/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:00;labstreaminglayer;marker;STUDY/V0/calibration_condition/1/block_03/MODERATE/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:00;track;taskupdatetime;18
0:02:00;track;joystickforce;1
0:02:00;resman;tank-a-lossperminute;860
0:02:00;resman;tank-b-lossperminute;860
0:02:03;sysmon;lights-1-failure;True
0:02:04;sysmon;scales-1-failure;True
0:02:11;communications;radioprompt;own
0:02:15;sysmon;scales-4-failure;True
0:02:16;sysmon;lights-1-failure;True
0:02:26;resman;pump-7-state;failure
0:02:27;sysmon;scales-2-failure;True
0:02:29;sysmon;lights-2-failure;True
0:02:34;communications;radioprompt;other
0:02:36;resman;pump-7-state;off
0:02:38;resman;pump-8-state;failure
0:02:43;sysmon;scales-3-failure;True
0:02:45;sysmon;lights-2-failure;True
0:02:48;resman;pump-8-state;off
