# OpenMATB Scenario: full_calibration_pself_c2.txt
# Full-study calibration -- condition 2, 9 min continuous
#
# Participant  : PSELF
# d_final      : 1.0000
# delta        : 0.8000
# Level anchors: LOW=0.2000, MODERATE=1.0000, HIGH=1.8000
# Block order  : L H M H M L M L H  (L=LOW M=MODERATE H=HIGH)
# Seed basis   : <participant>|<condition>|<block_index>
# Generated by : scripts/generate_full_study_scenarios.py

0:00:00;labstreaminglayer;start
0:00:00;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;scheduling;start
0:00:00;communications;voiceidiom;english
0:00:00;communications;voicegender;male
0:00:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/block_01/LOW/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:05;track;taskupdatetime;35
0:00:05;track;joystickforce;2
0:00:05;resman;tank-a-lossperminute;111
0:00:05;resman;tank-b-lossperminute;111
0:00:05;track;start
0:00:05;sysmon;start
0:00:05;communications;start
0:00:05;resman;start
0:00:14;sysmon;lights-1-failure;True
0:00:17;sysmon;scales-3-failure;True
0:00:21;communications;radioprompt;other
0:00:22;resman;pump-8-state;failure
0:00:24;sysmon;scales-1-failure;True
0:00:32;resman;pump-8-state;off
0:00:39;sysmon;lights-2-failure;True
0:00:42;sysmon;lights-2-failure;True
0:00:45;resman;pump-7-state;failure
0:00:48;sysmon;scales-2-failure;True
0:00:55;resman;pump-7-state;off
0:01:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/block_01/LOW/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/block_02/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;track;taskupdatetime;10
0:01:05;track;joystickforce;1
0:01:05;resman;tank-a-lossperminute;400
0:01:05;resman;tank-b-lossperminute;400
0:01:10;sysmon;lights-1-failure;True
0:01:10;communications;radioprompt;own
0:01:10;resman;pump-4-state;failure
0:01:11;sysmon;lights-2-failure;True
0:01:13;sysmon;scales-1-failure;True
0:01:15;sysmon;lights-1-failure;True
0:01:16;sysmon;lights-1-failure;True
0:01:18;sysmon;lights-1-failure;True
0:01:18;sysmon;scales-1-failure;True
0:01:19;sysmon;lights-2-failure;True
0:01:19;sysmon;scales-1-failure;True
0:01:20;resman;pump-4-state;off
0:01:24;sysmon;scales-2-failure;True
0:01:25;resman;pump-7-state;failure
0:01:26;sysmon;lights-2-failure;True
0:01:27;sysmon;scales-2-failure;True
0:01:28;sysmon;lights-2-failure;True
0:01:29;sysmon;scales-3-failure;True
0:01:30;sysmon;lights-2-failure;True
0:01:31;sysmon;scales-1-failure;True
0:01:31;sysmon;lights-2-failure;True
0:01:32;sysmon;scales-4-failure;True
0:01:34;sysmon;scales-4-failure;True
0:01:34;sysmon;lights-1-failure;True
0:01:35;resman;pump-7-state;off
0:01:36;sysmon;lights-2-failure;True
0:01:36;sysmon;scales-3-failure;True
0:01:36;resman;pump-2-state;failure
0:01:41;sysmon;scales-2-failure;True
0:01:42;sysmon;lights-1-failure;True
0:01:42;communications;radioprompt;other
0:01:42;sysmon;scales-4-failure;True
0:01:44;sysmon;scales-4-failure;True
0:01:44;sysmon;lights-2-failure;True
0:01:46;resman;pump-2-state;off
0:01:47;sysmon;scales-4-failure;True
0:01:49;resman;pump-8-state;failure
0:01:50;sysmon;scales-1-failure;True
0:01:51;sysmon;lights-1-failure;True
0:01:53;sysmon;scales-3-failure;True
0:01:56;sysmon;lights-2-failure;True
0:01:57;sysmon;scales-2-failure;True
0:01:58;sysmon;scales-3-failure;True
0:01:59;resman;pump-8-state;off
0:01:59;sysmon;lights-1-failure;True
0:02:00;sysmon;lights-1-failure;True
0:02:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/block_02/HIGH/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/block_03/MODERATE/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:05;track;taskupdatetime;22
0:02:05;track;joystickforce;2
0:02:05;resman;tank-a-lossperminute;211
0:02:05;resman;tank-b-lossperminute;211
0:02:13;sysmon;scales-3-failure;True
0:02:13;sysmon;lights-1-failure;True
0:02:15;sysmon;lights-1-failure;True
0:02:19;resman;pump-7-state;failure
0:02:20;communications;radioprompt;other
0:02:22;sysmon;scales-1-failure;True
0:02:24;sysmon;lights-2-failure;True
0:02:26;sysmon;lights-2-failure;True
0:02:27;sysmon;scales-4-failure;True
0:02:29;sysmon;scales-3-failure;True
0:02:29;resman;pump-7-state;off
0:02:33;resman;pump-2-state;failure
0:02:36;sysmon;scales-1-failure;True
0:02:36;sysmon;lights-1-failure;True
0:02:39;sysmon;lights-2-failure;True
0:02:41;communications;radioprompt;own
0:02:42;sysmon;scales-2-failure;True
0:02:43;resman;pump-2-state;off
0:02:45;resman;pump-8-state;failure
0:02:45;sysmon;scales-2-failure;True
0:02:47;sysmon;lights-1-failure;True
0:02:55;resman;pump-8-state;off
