# OpenMATB Scenario: full_calibration_ptest_c2.txt
# Full-study calibration -- condition 2, 9 min continuous
#
# Participant  : PTEST
# d_final      : 1.8000
# delta        : 0.0000
# Level anchors: LOW=1.8000, MODERATE=1.8000, HIGH=1.8000
# Block order  : H L M L M H M H L  (L=LOW M=MODERATE H=HIGH)
# Seed basis   : <participant>|<condition>|<block_index>
# Generated by : scripts/generate_full_study_scenarios.py

0:00:00;labstreaminglayer;start
0:00:00;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;scheduling;start
0:00:00;communications;voiceidiom;english
0:00:00;communications;voicegender;male
0:00:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/block_01/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:05;track;taskupdatetime;10
0:00:05;track;joystickforce;1
0:00:05;resman;tank-a-lossperminute;400
0:00:05;resman;tank-b-lossperminute;400
0:00:05;track;start
0:00:05;sysmon;start
0:00:05;communications;start
0:00:05;resman;start
0:00:08;sysmon;scales-1-failure;True
0:00:09;resman;pump-7-state;failure
0:00:10;sysmon;scales-4-failure;True
0:00:13;sysmon;lights-2-failure;True
0:00:13;sysmon;scales-2-failure;True
0:00:15;sysmon;lights-1-failure;True
0:00:16;sysmon;scales-2-failure;True
0:00:18;communications;radioprompt;own
0:00:19;resman;pump-7-state;off
0:00:19;sysmon;lights-1-failure;True
0:00:20;sysmon;lights-1-failure;True
0:00:21;resman;pump-5-state;failure
0:00:21;sysmon;scales-3-failure;True
0:00:22;sysmon;lights-1-failure;True
0:00:25;sysmon;scales-2-failure;True
0:00:25;sysmon;lights-2-failure;True
0:00:26;sysmon;scales-3-failure;True
0:00:27;sysmon;lights-1-failure;True
0:00:28;sysmon;scales-4-failure;True
0:00:29;sysmon;lights-2-failure;True
0:00:30;sysmon;scales-2-failure;True
0:00:31;resman;pump-5-state;off
0:00:31;sysmon;lights-1-failure;True
0:00:32;sysmon;scales-2-failure;True
0:00:33;resman;pump-4-state;failure
0:00:34;sysmon;lights-2-failure;True
0:00:35;sysmon;scales-1-failure;True
0:00:37;sysmon;scales-1-failure;True
0:00:38;communications;radioprompt;other
0:00:38;sysmon;lights-2-failure;True
0:00:38;sysmon;scales-1-failure;True
0:00:41;sysmon;lights-1-failure;True
0:00:43;sysmon;lights-1-failure;True
0:00:43;resman;pump-4-state;off
0:00:44;sysmon;scales-4-failure;True
0:00:47;resman;pump-8-state;failure
0:00:50;sysmon;scales-4-failure;True
0:00:53;sysmon;scales-4-failure;True
0:00:53;sysmon;lights-2-failure;True
0:00:54;sysmon;lights-2-failure;True
0:00:55;sysmon;lights-2-failure;True
0:00:55;sysmon;scales-3-failure;True
0:00:57;resman;pump-8-state;off
0:00:58;sysmon;scales-3-failure;True
0:00:58;sysmon;lights-1-failure;True
0:01:00;sysmon;lights-2-failure;True
0:01:04;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/block_01/HIGH/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;labstreaminglayer;marker;STUDY/V0/calibration_condition/2/block_02/LOW/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:05;track;taskupdatetime;10
0:01:05;track;joystickforce;1
0:01:05;resman;tank-a-lossperminute;400
0:01:05;resman;tank-b-lossperminute;400
0:01:08;sysmon;scales-3-failure;True
0:01:08;communications;radioprompt;own
0:01:10;sysmon;scales-4-failure;True
0:01:10;sysmon;lights-2-failure;True
0:01:11;sysmon;lights-1-failure;True
0:01:13;resman;pump-5-state;failure
0:01:14;sysmon;scales-3-failure;True
0:01:15;sysmon;lights-2-failure;True
0:01:18;sysmon;lights-1-failure;True
0:01:20;sysmon;scales-2-failure;True
0:01:20;sysmon;lights-1-failure;True
0:01:22;sysmon;scales-1-failure;True
0:01:22;sysmon;lights-2-failure;True
0:01:23;resman;pump-5-state;off
0:01:24;resman;pump-4-state;failure
0:01:24;sysmon;scales-4-failure;True
0:01:26;sysmon;scales-2-failure;True
0:01:28;sysmon;lights-2-failure;True
0:01:29;sysmon;lights-1-failure;True
0:01:30;sysmon;scales-1-failure;True
0:01:31;sysmon;scales-3-failure;True
0:01:31;sysmon;lights-1-failure;True
0:01:32;sysmon;lights-2-failure;True
0:01:32;communications;radioprompt;other
0:01:33;sysmon;scales-4-failure;True
0:01:34;resman;pump-4-state;off
0:01:35;resman;pump-7-state;failure
0:01:35;sysmon;scales-4-failure;True
0:01:38;sysmon;scales-2-failure;True
0:01:39;sysmon;scales-2-failure;True
0:01:42;sysmon;lights-2-failure;True
0:01:44;sysmon;lights-1-failure;True
0:01:45;sysmon;scales-1-failure;True
0:01:45;resman;pump-7-state;off
0:01:47;sysmon;lights-1-failure;True
0:01:50;sysmon;lights-1-failure;True
0:01:50;resman;pump-8-state;failure
0:01:51;sysmon;lights-1-failure;True
0:01:52;sysmon;lights-2-failure;True
0:01:53;sysmon;scales-3-failure;True
0:01:55;sysmon;lights-2-failure;True
0:01:56;sysmon;scales-1-failure;True
0:01:56;sysmon;lights-2-failure;True
0:01:59;sysmon;scales-4-failure;True
0:02:00;sysmon;scales-2-failure;True
0:02:00;resman;pump-8-state;off
