pid,ses,acq,status,duration_s,spike_med,spike_p90,spike_max,worst_ch
P002,S001,control,ok,474.0,0.003,0.017,0.113,Z6
PDRY01,S001,cal_c1,too_short,0.0,nan,nan,nan,
PDRY01,S001,cal_c2,too_short,0.0,nan,nan,nan,
PDRY01,S001,pilot1,too_short,0.0,nan,nan,nan,
PDRY01,S001,rest,ok,6.5,0.013,0.031,0.534,RB1
PDRY02,S001,adaptation,ok,475.1,0.003,0.016,0.126,Z6
PDRY02,S001,cal_c1,ok,541.5,0.012,0.017,0.039,R11
PDRY02,S001,cal_c2,SPIKE,542.0,2.968,3.198,4.093,R11
PDRY02,S001,rest,ok,114.0,0.007,0.011,0.119,R11
PDRY03,S001,adaptation,ok,663.5,0.235,0.777,1.11,LD2
PDRY03,S001,cal_c1,ok,540.5,0.253,0.921,1.254,L7
PDRY03,S001,cal_c2,ok,577.5,0.278,0.744,1.132,Z8
PDRY03,S001,rest,ok,117.0,0.175,0.778,1.255,LE1
PDRY04,S001,pilot1,ok,1321.5,0.045,0.139,0.807,Z2
PDRY06,S001,adaptation,ok,506.0,0.016,0.018,0.022,LL12
PDRY06,S001,cal_c1,SPIKE,650.0,14.374,14.622,14.697,LC7
PDRY06,S001,cal_c2,SPIKE,598.0,64.005,64.934,66.104,Z12
PDRY06,S001,control,SPIKE,475.5,29.597,30.585,34.994,LA1
PDRY06,S001,rest,SPIKE,116.5,4.865,4.896,4.936,RD1
PSELF,S001,adaptation,ok,61.0,0.073,0.13,0.577,RR12
PSELF,S001,cal_c1,ok,555.6,1.914,2.359,2.592,RC1
PSELF,S001,cal_c2,ok,544.5,0.033,0.078,1.161,LL12
PSELF,S001,pilot1,too_short,0.0,nan,nan,nan,
PSELF,S001,rest,SPIKE,231.5,2.981,3.943,12.254,RR13
PSELF,S002,adaptation,ok,153.0,0.495,0.859,1.474,LD2
PSELF,S003,adaptation,ok,474.7,0.967,1.302,1.655,RR5
PSELF,S003,cal_c1,ok,535.0,0.908,1.27,1.529,RR5
PSELF,S003,cal_c2,ok,533.0,0.812,1.057,1.34,R2
PSELF,S003,rest,ok,112.6,0.71,1.127,1.306,LD2
PSELF,S004,adaptation,ok,477.0,0.05,0.083,0.174,LL12
PSELF,S004,cal_c1,ok,540.0,0.783,1.061,1.491,LL7
PSELF,S004,cal_c2,ok,535.5,0.769,1.055,1.333,LL7
PSELF,S004,rest,ok,113.5,0.668,1.146,1.748,LD4
PSELF,S005,adaptation,ok,477.0,0.005,0.01,0.023,LL12
PSELF,S005,cal_c1,ok,542.5,0.509,0.868,1.231,RR12
PSELF,S005,cal_c2,ok,535.0,0.012,0.032,0.045,Z2
PSELF,S005,control,ok,479.1,0.002,0.004,0.013,LL9
PSELF,S005,rest,ok,118.0,0.426,0.678,1.266,RR3
PSELF,S006,adaptation,SPIKE,476.5,19.661,26.523,45.291,LA2
PSELF,S006,cal_c1,ok,559.0,0.679,1.154,1.43,RA4
PSELF,S006,cal_c2,ok,543.0,0.007,0.019,0.435,LL12
PSELF,S006,control,SPIKE,477.1,14.01,15.723,16.575,LB6
PSELF,S006,rest,ok,119.5,0.052,0.093,0.18,R5
