n_blocks,combo,model,k,C,n_train_windows,auc,acc,p_high_low,p_high_moderate,p_high_high
1,1,logreg,10,0.003,309,0.5920503817513433,0.6201456310679612,0.5235516428947449,0.5608208179473877,0.5780212879180908
1,1,svm_lin,10,0.01,309,0.5907955509473088,0.5800970873786407,0.7245690302406691,0.8427061845247402,0.9104042700637778
1,1,svm_lin,10,0.1,309,0.625477189178999,0.5,0.9846961174167955,0.9949985278023057,0.9995305928981368
1,1,svm_lin,10,1.0,309,0.6726482232067114,0.6043689320388349,0.6696573829039931,0.8694586859036446,0.973411704855398
1,1,logreg,20,0.003,309,0.5821118861344141,0.5776699029126213,0.6391672492027283,0.7108047604560852,0.7442263960838318
1,1,svm_lin,20,0.01,309,0.6030846451126401,0.633495145631068,0.602027545512559,0.7732790797009148,0.9092635117719523
1,1,svm_lin,20,0.1,309,0.6241929022528042,0.5230582524271845,0.16808359382497104,0.27289962002024654,0.2914132485897202
1,1,svm_lin,20,1.0,309,0.6835528796305024,0.5,0.00012266880668087735,0.00019900528845944566,0.0002848943312155723
1,1,logreg,30,0.003,309,0.6207701008577622,0.5351941747572816,0.7337390184402466,0.8003359436988831,0.8306218385696411
1,1,svm_lin,30,0.01,309,0.6268439532472428,0.6092233009708737,0.6629583825613679,0.8266642143999923,0.9526842853177584
1,1,svm_lin,30,0.1,309,0.6232326326703742,0.616504854368932,0.425748899310104,0.5772576776437729,0.688617970602611
1,1,svm_lin,30,1.0,309,0.6679234612121783,0.5012135922330098,0.02346483383432558,0.044536799518803176,0.05849918226359844
1,1,logreg,40,0.003,309,0.6215889810538222,0.5509708737864077,0.6832777857780457,0.7442983984947205,0.7794787883758545
1,1,svm_lin,40,0.01,309,0.6213179847299463,0.6189320388349514,0.5976649151244272,0.7805310777753969,0.8999860460073523
1,1,svm_lin,40,0.1,309,0.613830238476765,0.6237864077669902,0.6003654750286072,0.7826430394270442,0.912866949605088
1,1,svm_lin,40,1.0,309,0.5596015175794137,0.529126213592233,0.8531995178879581,0.9086917511649144,0.9461276658040503
1,1,logreg,54,0.003,309,0.6305024036195682,0.587378640776699,0.6413184404373169,0.7231165170669556,0.7642038464546204
1,1,svm_lin,54,0.01,309,0.5980829955697993,0.5570388349514563,0.8133736585280887,0.8912610052520761,0.9710640642908329
1,1,svm_lin,54,0.1,309,0.5707536054293525,0.5764563106796117,0.6538296533319147,0.7901454756146852,0.8495327254206938
