model,k,C,n_blocks,n_combos,auc_mean,auc_std,acc_mean,acc_std,p_high_low_mean,p_high_moderate_mean,p_high_high_mean
logreg,10,0.003,1,6,0.539,0.0981,0.5184,0.0456,0.4342,0.44,0.4419
logreg,10,0.003,2,15,0.5479,0.0825,0.5097,0.0352,0.3969,0.4245,0.4388
logreg,10,0.003,3,20,0.5519,0.0734,0.5135,0.04,0.4012,0.4233,0.4413
logreg,10,0.003,4,15,0.5686,0.0457,0.5288,0.0499,0.361,0.3924,0.4131
logreg,10,0.003,5,6,0.577,0.028,0.5148,0.0364,0.2958,0.317,0.3376
logreg,10,0.003,6,1,0.5732,0.0,0.5,0.0,0.2367,0.234,0.2463
logreg,20,0.003,1,6,0.569,0.0758,0.5198,0.0334,0.4257,0.4533,0.4638
logreg,20,0.003,2,15,0.584,0.0914,0.5184,0.0401,0.4321,0.4705,0.4931
logreg,20,0.003,3,20,0.6206,0.0504,0.541,0.05,0.4061,0.4684,0.5061
logreg,20,0.003,4,15,0.6276,0.0345,0.5416,0.0483,0.4335,0.4955,0.5347
logreg,20,0.003,5,6,0.6335,0.0334,0.5651,0.0441,0.4681,0.5371,0.5839
logreg,20,0.003,6,1,0.5692,0.0,0.5413,0.0,0.6379,0.655,0.6774
logreg,30,0.003,1,6,0.5955,0.0723,0.5123,0.0261,0.4394,0.4669,0.4778
logreg,30,0.003,2,15,0.6207,0.0626,0.539,0.0497,0.4191,0.4787,0.515
logreg,30,0.003,3,20,0.6389,0.0321,0.5551,0.0512,0.4617,0.5413,0.5813
logreg,30,0.003,4,15,0.6499,0.0197,0.5583,0.0408,0.5008,0.5937,0.6422
logreg,30,0.003,5,6,0.6591,0.014,0.5698,0.033,0.5942,0.7063,0.759
logreg,30,0.003,6,1,0.6582,0.0,0.5934,0.0,0.5957,0.7326,0.7879
logreg,40,0.003,1,6,0.6056,0.0762,0.519,0.0271,0.4026,0.4371,0.4512
logreg,40,0.003,2,15,0.6319,0.0606,0.537,0.0489,0.441,0.5012,0.5368
logreg,40,0.003,3,20,0.6484,0.0307,0.5585,0.0536,0.4686,0.5545,0.5983
logreg,40,0.003,4,15,0.6506,0.0183,0.5534,0.0436,0.5458,0.648,0.6928
logreg,40,0.003,5,6,0.6534,0.0104,0.5643,0.0364,0.6014,0.7199,0.7705
logreg,40,0.003,6,1,0.6521,0.0,0.5789,0.0,0.6321,0.7711,0.8226
logreg,54,0.003,1,6,0.5837,0.1104,0.5269,0.0395,0.3928,0.4293,0.4421
logreg,54,0.003,2,15,0.6302,0.0843,0.5363,0.0473,0.4573,0.5264,0.5622
logreg,54,0.003,3,20,0.651,0.0354,0.553,0.0527,0.4997,0.595,0.6367
logreg,54,0.003,4,15,0.6519,0.025,0.5578,0.0406,0.5661,0.6745,0.7175
logreg,54,0.003,5,6,0.6514,0.0132,0.5649,0.0259,0.6344,0.7615,0.8077
logreg,54,0.003,6,1,0.6492,0.0,0.5619,0.0,0.6752,0.8201,0.8669
svm_lin,10,0.01,1,6,0.5051,0.0508,0.5125,0.0303,0.4637,0.4845,0.494
svm_lin,10,0.01,2,15,0.5471,0.0604,0.5147,0.0446,0.4137,0.4504,0.462
svm_lin,10,0.01,3,20,0.5483,0.0749,0.5223,0.0405,0.4246,0.4529,0.4762
svm_lin,10,0.01,4,15,0.5625,0.0496,0.5256,0.0491,0.3676,0.4042,0.4295
svm_lin,10,0.01,5,6,0.5693,0.0399,0.5142,0.0421,0.2879,0.3186,0.3456
svm_lin,10,0.01,6,1,0.5644,0.0,0.4939,0.0,0.2228,0.2236,0.2342
svm_lin,10,0.1,1,6,0.5103,0.0673,0.499,0.0023,0.521,0.5256,0.5258
svm_lin,10,0.1,2,15,0.5439,0.0524,0.5154,0.0305,0.4457,0.4891,0.5008
svm_lin,10,0.1,3,20,0.5422,0.0608,0.5201,0.0362,0.4504,0.4896,0.5031
svm_lin,10,0.1,4,15,0.5459,0.0647,0.5203,0.0473,0.4251,0.4696,0.4872
svm_lin,10,0.1,5,6,0.5571,0.052,0.52,0.0349,0.3819,0.4214,0.444
svm_lin,10,0.1,6,1,0.536,0.0,0.5049,0.0,0.4443,0.4612,0.4564
svm_lin,10,1.0,1,6,0.5224,0.081,0.5164,0.0394,0.4729,0.5089,0.5268
svm_lin,10,1.0,2,15,0.5458,0.0528,0.5188,0.0344,0.4564,0.5015,0.515
svm_lin,10,1.0,3,20,0.532,0.0671,0.5191,0.0325,0.5023,0.5501,0.5573
svm_lin,10,1.0,4,15,0.5435,0.0651,0.5265,0.0407,0.461,0.5102,0.5204
svm_lin,10,1.0,5,6,0.5515,0.0502,0.5115,0.0285,0.448,0.4878,0.503
svm_lin,10,1.0,6,1,0.5236,0.0,0.5316,0.0,0.6005,0.6115,0.6109
