n_blocks,combo,model,k,C,gamma,n_est,n_train_windows,auc,acc,youdens_j,j_threshold,p_high_low,p_high_moderate,p_high_high
1,1,logreg,10,0.003,na,0,309,0.5920503817513433,0.6201456310679612,0.24271844660194175,0.5041487812995911,0.5235516428947449,0.5608208179473877,0.5780212879180908
1,1,svm_lin,10,0.01,na,0,309,0.5907955509473088,0.5800970873786407,0.2645631067961165,0.843412877651212,0.7245690302406691,0.8427061845247402,0.9104042700637778
1,1,svm_lin,10,0.1,na,0,309,0.625477189178999,0.5,0.25728155339805825,0.999999510398664,0.9846961174167955,0.9949985278023057,0.9995305928981368
1,1,svm_lin,10,1.0,na,0,309,0.6726482232067114,0.6043689320388349,0.30097087378640774,0.9844451791412641,0.6696573829039931,0.8694586859036446,0.973411704855398
1,1,svm_rbf,10,0.1,auto,0,309,0.3057545480252616,0.5,0.0,inf,0.025032785980163723,0.025032880501515246,0.02503262946623281
1,1,svm_rbf,10,0.1,scale,0,309,0.3057545480252616,0.5,0.0,inf,0.025032786150184373,0.0250328806715358,0.025032629636253703
1,1,svm_rbf,10,1.0,auto,0,309,0.30953671411066075,0.5,0.0,inf,0.0022672353414078792,0.0022672554684472893,0.002267201673188911
1,1,svm_rbf,10,1.0,scale,0,309,0.30953671411066075,0.5,0.0,inf,0.0022668793852877772,0.0022668995094962856,0.002266845721803485
1,1,svm_rbf,10,10.0,auto,0,309,0.5282248562541239,0.5,0.18203883495145634,0.012353760491256442,0.012353756082075992,0.012353757118221535,0.012353754852016827
1,1,svm_rbf,10,10.0,scale,0,309,0.5288611084927891,0.5,0.17961165048543692,0.012354453376427982,0.012354448951368184,0.012354449973410515,0.012354447745204925
1,1,lda,10,nan,na,0,309,0.5954967480441135,0.5,0.19660194174757284,0.9999988340169094,0.999997520758413,0.999998485844248,0.9999993982216809
1,1,logreg,20,0.003,na,0,309,0.5821118861344141,0.5776699029126213,0.2669902912621359,0.6709003448486328,0.6391672492027283,0.7108047604560852,0.7442263960838318
1,1,svm_lin,20,0.01,na,0,309,0.6030846451126401,0.633495145631068,0.2766990291262137,0.8583237149355321,0.602027545512559,0.7732790797009148,0.9092635117719523
1,1,svm_lin,20,0.1,na,0,309,0.6241929022528042,0.5230582524271845,0.2912621359223301,0.024897401848487166,0.16808359382497104,0.27289962002024654,0.2914132485897202
1,1,svm_lin,20,1.0,na,0,309,0.6835528796305024,0.5,0.2961165048543689,8.291132725845318e-06,0.00012266880668087735,0.00019900528845944566,0.0002848943312155723
1,1,svm_rbf,20,0.1,auto,0,309,0.7495463757187294,0.5,0.42475728155339804,0.01130852506730154,0.011308603824129222,0.011308491003272764,0.011309087516044432
1,1,svm_rbf,20,0.1,scale,0,309,0.7495404844942973,0.5,0.42475728155339804,0.011310355918224083,0.011310434584032674,0.011310321790722406,0.011310918160165835
1,1,svm_rbf,20,1.0,auto,0,309,0.6107196719766236,0.5,0.2669902912621359,0.005094415467505817,0.0050942496083801,0.005094141203257991,0.005094384062429584
1,1,svm_rbf,20,1.0,scale,0,309,0.6107196719766237,0.5,0.2669902912621359,0.005095405481143773,0.0050952396016821526,0.005095131180807909,0.005095374078616522
1,1,svm_rbf,20,10.0,auto,0,309,0.24455650862475253,0.5,0.0024271844660194164,0.007476766575787313,0.007499493278236676,0.0075003531910256445,0.007496420307096391
1,1,svm_rbf,20,10.0,scale,0,309,0.2445388349514563,0.5,0.0024271844660194164,0.007488123235459545,0.007510869882978595,0.007511730640819506,0.007507793688891936
1,1,lda,20,nan,na,0,309,0.6219247808464511,0.5012135922330098,0.24514563106796117,0.9979154612675996,0.9957847620811374,0.9884233574459473,0.9994434138187805
1,1,logreg,30,0.003,na,0,309,0.6207701008577622,0.5351941747572816,0.266990291262136,0.7899087071418762,0.7337390184402466,0.8003359436988831,0.8306218385696411
1,1,svm_lin,30,0.01,na,0,309,0.6268439532472428,0.6092233009708737,0.2766990291262137,0.9368196976740494,0.6629583825613679,0.8266642143999923,0.9526842853177584
1,1,svm_lin,30,0.1,na,0,309,0.6232326326703742,0.616504854368932,0.2766990291262136,0.2709950736927672,0.425748899310104,0.5772576776437729,0.688617970602611
1,1,svm_lin,30,1.0,na,0,309,0.6679234612121783,0.5012135922330098,0.2815533980582525,0.004503334356969201,0.02346483383432558,0.044536799518803176,0.05849918226359844
1,1,svm_rbf,30,0.1,auto,0,309,0.7519735601847488,0.5,0.3932038834951456,0.0153342214752728,0.015335197293764062,0.015330665975443442,0.015346872721559091
1,1,svm_rbf,30,0.1,scale,0,309,0.7519735601847488,0.5,0.3932038834951456,0.01533679677984311,0.015337772428746593,0.015333241420588131,0.015349447232986974
1,1,svm_rbf,30,1.0,auto,0,309,0.7440321896502969,0.5,0.4004854368932038,0.03149419016703511,0.03149734190588454,0.03149411713434359,0.03151414960979012
1,1,svm_rbf,30,1.0,scale,0,309,0.7440321896502969,0.5,0.4004854368932038,0.03149513918358909,0.031498291456952224,0.03149506667389672,0.03151509930881733
1,1,svm_rbf,30,10.0,auto,0,309,0.26960599490998205,0.5,0.0,inf,0.08599949395536656,0.08616810755804052,0.08569972681592944
1,1,svm_rbf,30,10.0,scale,0,309,0.26961188613441417,0.5,0.0,inf,0.0859517827510697,0.08612035661424917,0.08565209113759975
