model,k,C,gamma,n_est,n_blocks,n_combos,auc_mean,auc_std,acc_mean,acc_std,j_mean,j_std,j_threshold_mean,p_high_low_mean,p_high_moderate_mean,p_high_high_mean
lda,10,nan,na,0,1,6,0.5529,0.117,0.5006,0.0014,0.1537,0.1237,inf,0.5009,0.5006,0.5017
lda,10,nan,na,0,2,15,0.5515,0.0833,0.5235,0.0462,0.1513,0.1034,inf,0.471,0.5215,0.5457
lda,10,nan,na,0,3,20,0.5377,0.0795,0.5279,0.042,0.1377,0.0936,0.5618,0.5218,0.5642,0.5896
lda,10,nan,na,0,4,15,0.5431,0.0683,0.5265,0.0385,0.1254,0.0959,0.4776,0.5087,0.5622,0.5789
lda,10,nan,na,0,5,6,0.5519,0.0592,0.5069,0.0315,0.1278,0.0795,0.3728,0.419,0.4546,0.4697
lda,10,nan,na,0,6,1,0.5486,0.0,0.4976,0.0,0.1214,0.0,0.2589,0.3625,0.3731,0.3763
lda,20,nan,na,0,1,6,0.599,0.086,0.4994,0.002,0.2095,0.1029,0.4997,0.5011,0.499,0.4999
lda,20,nan,na,0,2,15,0.59,0.0946,0.53,0.0422,0.1922,0.1259,inf,0.486,0.5553,0.5805
lda,20,nan,na,0,3,20,0.6096,0.0541,0.5454,0.0509,0.2164,0.0692,0.6042,0.5499,0.643,0.6818
lda,20,nan,na,0,4,15,0.6181,0.0242,0.56,0.0453,0.2257,0.0443,0.7146,0.6454,0.7538,0.796
lda,20,nan,na,0,5,6,0.6175,0.037,0.5589,0.0372,0.2164,0.0691,0.775,0.6997,0.7937,0.8378
lda,20,nan,na,0,6,1,0.5471,0.0,0.5121,0.0,0.0874,0.0,0.9405,0.8528,0.8759,0.8937
lda,30,nan,na,0,1,6,0.6055,0.0838,0.5,0.0,0.1982,0.1068,0.5,0.4999,0.4998,0.5
lda,30,nan,na,0,2,15,0.6203,0.0623,0.5415,0.0543,0.2328,0.0817,0.5233,0.4766,0.5599,0.5995
lda,30,nan,na,0,3,20,0.6308,0.0436,0.5506,0.0481,0.2421,0.0574,0.6134,0.5527,0.6515,0.6971
lda,30,nan,na,0,4,15,0.6453,0.0343,0.5622,0.0502,0.2615,0.0467,0.7291,0.6524,0.7715,0.8228
lda,30,nan,na,0,5,6,0.6491,0.0275,0.556,0.0292,0.2662,0.0448,0.8862,0.7615,0.8851,0.9266
lda,30,nan,na,0,6,1,0.6319,0.0,0.5485,0.0,0.2549,0.0,0.9177,0.7781,0.9136,0.9502
lda,40,nan,na,0,1,6,0.5885,0.07,0.5,0.0,0.1824,0.0997,0.5,0.4999,0.4995,0.4999
lda,40,nan,na,0,2,15,0.6326,0.0557,0.5408,0.0585,0.2461,0.0717,0.4642,0.4211,0.4906,0.5367
lda,40,nan,na,0,3,20,0.6432,0.0528,0.5462,0.0499,0.2574,0.0677,0.5675,0.5018,0.5971,0.6395
lda,40,nan,na,0,4,15,0.6512,0.0427,0.5646,0.0402,0.2764,0.0583,0.7611,0.6536,0.785,0.8382
lda,40,nan,na,0,5,6,0.6577,0.0293,0.5623,0.0282,0.2803,0.0541,0.913,0.7568,0.8873,0.939
lda,40,nan,na,0,6,1,0.6592,0.0,0.5534,0.0,0.3083,0.0,0.9277,0.7532,0.9044,0.9505
lda,54,nan,na,0,1,6,0.5432,0.1146,0.5053,0.0129,0.159,0.1257,inf,0.4771,0.4895,0.4954
lda,54,nan,na,0,2,15,0.6199,0.0883,0.5243,0.0505,0.2359,0.0984,0.3784,0.4627,0.5018,0.5285
lda,54,nan,na,0,3,20,0.636,0.0696,0.5401,0.0446,0.2456,0.0876,0.5382,0.5298,0.609,0.6482
lda,54,nan,na,0,4,15,0.6497,0.0465,0.5532,0.0432,0.2662,0.0722,0.7514,0.6731,0.7821,0.829
lda,54,nan,na,0,5,6,0.6554,0.0298,0.5506,0.0248,0.2852,0.0617,0.9182,0.7789,0.9087,0.9506
lda,54,nan,na,0,6,1,0.6596,0.0,0.5461,0.0,0.3058,0.0,0.9574,0.7962,0.9355,0.9671
logreg,10,0.003,na,0,1,6,0.539,0.0981,0.5184,0.0456,0.161,0.1093,inf,0.4342,0.44,0.4419
logreg,10,0.003,na,0,2,15,0.5479,0.0825,0.5097,0.0352,0.1576,0.1037,0.3834,0.3969,0.4245,0.4388
logreg,10,0.003,na,0,3,20,0.5519,0.0734,0.5135,0.04,0.1472,0.0851,0.381,0.4012,0.4233,0.4413
logreg,10,0.003,na,0,4,15,0.5686,0.0457,0.5288,0.0499,0.1589,0.0798,0.3603,0.361,0.3924,0.4131
logreg,10,0.003,na,0,5,6,0.577,0.028,0.5148,0.0364,0.1561,0.0544,0.2829,0.2958,0.317,0.3376
logreg,10,0.003,na,0,6,1,0.5732,0.0,0.5,0.0,0.1311,0.0,0.1898,0.2367,0.234,0.2463
logreg,20,0.003,na,0,1,6,0.569,0.0758,0.5198,0.0334,0.1978,0.0959,0.4258,0.4257,0.4533,0.4638
logreg,20,0.003,na,0,2,15,0.584,0.0914,0.5184,0.0401,0.1966,0.1043,inf,0.4321,0.4705,0.4931
logreg,20,0.003,na,0,3,20,0.6206,0.0504,0.541,0.05,0.2365,0.0526,0.4341,0.4061,0.4684,0.5061
logreg,20,0.003,na,0,4,15,0.6276,0.0345,0.5416,0.0483,0.2442,0.05,0.4525,0.4335,0.4955,0.5347
logreg,20,0.003,na,0,5,6,0.6335,0.0334,0.5651,0.0441,0.2435,0.0672,0.4989,0.4681,0.5371,0.5839
logreg,20,0.003,na,0,6,1,0.5692,0.0,0.5413,0.0,0.1189,0.0,0.6553,0.6379,0.655,0.6774
logreg,30,0.003,na,0,1,6,0.5955,0.0723,0.5123,0.0261,0.2087,0.0944,0.4372,0.4394,0.4669,0.4778
logreg,30,0.003,na,0,2,15,0.6207,0.0626,0.539,0.0497,0.2442,0.0655,0.4359,0.4191,0.4787,0.515
logreg,30,0.003,na,0,3,20,0.6389,0.0321,0.5551,0.0512,0.2567,0.0323,0.5174,0.4617,0.5413,0.5813
logreg,30,0.003,na,0,4,15,0.6499,0.0197,0.5583,0.0408,0.2786,0.0284,0.5747,0.5008,0.5937,0.6422
logreg,30,0.003,na,0,5,6,0.6591,0.014,0.5698,0.033,0.2848,0.0224,0.7051,0.5942,0.7063,0.759
logreg,30,0.003,na,0,6,1,0.6582,0.0,0.5934,0.0,0.284,0.0,0.68,0.5957,0.7326,0.7879
logreg,40,0.003,na,0,1,6,0.6056,0.0762,0.519,0.0271,0.2148,0.0893,0.4327,0.4026,0.4371,0.4512
logreg,40,0.003,na,0,2,15,0.6319,0.0606,0.537,0.0489,0.2539,0.0662,0.4618,0.441,0.5012,0.5368
logreg,40,0.003,na,0,3,20,0.6484,0.0307,0.5585,0.0536,0.2723,0.0347,0.5266,0.4686,0.5545,0.5983
logreg,40,0.003,na,0,4,15,0.6506,0.0183,0.5534,0.0436,0.2816,0.0239,0.6287,0.5458,0.648,0.6928
logreg,40,0.003,na,0,5,6,0.6534,0.0104,0.5643,0.0364,0.2921,0.0199,0.7075,0.6014,0.7199,0.7705
logreg,40,0.003,na,0,6,1,0.6521,0.0,0.5789,0.0,0.2985,0.0,0.7276,0.6321,0.7711,0.8226
logreg,54,0.003,na,0,1,6,0.5837,0.1104,0.5269,0.0395,0.2055,0.1038,0.417,0.3928,0.4293,0.4421
logreg,54,0.003,na,0,2,15,0.6302,0.0843,0.5363,0.0473,0.2615,0.0723,0.4844,0.4573,0.5264,0.5622
logreg,54,0.003,na,0,3,20,0.651,0.0354,0.553,0.0527,0.2802,0.044,0.5711,0.4997,0.595,0.6367
logreg,54,0.003,na,0,4,15,0.6519,0.025,0.5578,0.0406,0.2843,0.0343,0.6607,0.5661,0.6745,0.7175
logreg,54,0.003,na,0,5,6,0.6514,0.0132,0.5649,0.0259,0.2957,0.0174,0.748,0.6344,0.7615,0.8077
logreg,54,0.003,na,0,6,1,0.6492,0.0,0.5619,0.0,0.3131,0.0,0.8053,0.6752,0.8201,0.8669
rf,10,nan,na,200,1,6,0.5261,0.0273,0.5028,0.0143,0.0809,0.041,0.4367,0.4058,0.417,0.4192
rf,10,nan,na,200,2,15,0.5546,0.0551,0.5058,0.0189,0.112,0.0792,0.2767,0.2993,0.3055,0.3182
rf,10,nan,na,200,3,20,0.5645,0.0451,0.5093,0.0135,0.138,0.0653,0.253,0.2647,0.2629,0.2837
rf,10,nan,na,200,4,15,0.5545,0.0512,0.5123,0.0173,0.1206,0.0735,0.246,0.2389,0.2388,0.2584
rf,10,nan,na,200,5,6,0.5482,0.0263,0.5083,0.0102,0.0971,0.0328,0.23,0.2079,0.2092,0.2248
rf,10,nan,na,200,6,1,0.5349,0.0,0.5024,0.0,0.0947,0.0,0.24,0.1676,0.1657,0.1844
rf,20,nan,na,200,1,6,0.5544,0.0502,0.5069,0.0221,0.1388,0.0741,0.3367,0.3727,0.3899,0.3877
rf,20,nan,na,200,2,15,0.5532,0.0372,0.506,0.0196,0.1228,0.0412,0.2943,0.3008,0.3083,0.3176
rf,20,nan,na,200,3,20,0.5564,0.0355,0.5049,0.0151,0.1303,0.0457,0.2353,0.2491,0.2576,0.2689
rf,20,nan,na,200,4,15,0.553,0.0472,0.5053,0.0118,0.1248,0.0503,0.2373,0.2226,0.2306,0.2402
rf,20,nan,na,200,5,6,0.555,0.0352,0.5014,0.0023,0.1258,0.0394,0.2167,0.2264,0.237,0.2446
rf,20,nan,na,200,6,1,0.5759,0.0,0.4976,0.0,0.1578,0.0,0.275,0.2895,0.3035,0.31
rf,30,nan,na,200,1,6,0.5261,0.0447,0.5022,0.0077,0.0971,0.0577,0.3175,0.3329,0.3438,0.3419
rf,30,nan,na,200,2,15,0.5484,0.0472,0.5049,0.0152,0.1183,0.059,0.3093,0.3083,0.3202,0.325
rf,30,nan,na,200,3,20,0.5553,0.0307,0.5064,0.0145,0.1261,0.0441,0.231,0.2476,0.256,0.2642
