pid,cohort,calibrated_at,n_windows,n_classes,model_k,threshold_method,youden_threshold,youdens_j,train_youden_threshold,train_youdens_j,kfold_youdens_j,kfold_n_splits,loro_youdens_j,loro_n_folds,train_acc,cv_10fold_acc,recall_LOW,recall_MODERATE,recall_HIGH
PDRY01,dry_run,2026-04-22T16:39:42.949676+00:00,,3,35,loro,0.4647,0.3511,0.3348,0.6294,,,0.3511,2,,,,,
PDRY02,dry_run,2026-04-23T10:28:45.942178+00:00,,3,35,loro,0.3333,0.1455,0.3027,0.6012,,,0.1455,2,,,,,
PDRY03,dry_run,2026-04-23T15:56:49.052647+00:00,,3,35,train_set_fallback,0.3668,0.4676,0.3668,0.4676,,,0.0618,2,,,,,
PDRY06,dry_run,2026-04-28T13:33:58.937400+00:00,1648,3,35,loro,0.4849,0.2495,0.3334,0.6563,,,0.2495,2,0.7233,0.6972,0.6544,0.7417,0.6958
PSELF,self,2026-04-10T17:20:43.021738+00:00,,3,35,train_set_fallback,0.3195,0.699,0.3195,0.699,,,0.0712,2,,,,,
_mean_dry_run (n=4),,,1648.0,3.0,35.0,,0.4124,0.3034,0.3344,0.5886,,,0.202,2.0,0.7233,0.6972,0.6544,0.7417,0.6958
_median_dry_run (n=4),,,1648.0,3.0,35.0,,0.4158,0.3003,0.3341,0.6153,,,0.1975,2.0,0.7233,0.6972,0.6544,0.7417,0.6958
_mean_self (n=1),,,,3.0,35.0,,0.3195,0.699,0.3195,0.699,,,0.0712,2.0,,,,,
_mean_all (n=5),,,1648.0,3.0,35.0,,0.3938,0.3825,0.3314,0.6107,,,0.1758,2.0,0.7233,0.6972,0.6544,0.7417,0.6958
_median_all (n=5),,,1648.0,3.0,35.0,,0.3668,0.3511,0.3334,0.6294,,,0.1455,2.0,0.7233,0.6972,0.6544,0.7417,0.6958
